《新起点英语》小学单词归类
 
seasons: (季节)
   spring              春季
   summer             夏季
fall                秋季
   winter              冬季

weather: (天气)
   warm               温暖的
   hot                 炎热的
cool                 凉爽的
   cold                寒冷的
   rainy               下雨的
   sunny               晴朗的
   snowy              下雪的
windy               多风的
   cloudy              多云的
   foggy               有雾的
   smoggy             有霾的

clothes: (服装)
wear                穿
coat                大衣
down coat           羽绒服
jeans               牛仔裤
cap                 帽子
gloves              手套
scarf                围巾
boots                靴子
T-shirt               T恤衫
vest                 背心
shorts               短裤
skirt                 短裙
dress                连衣裙
raincoat              雨衣
sunglasses           太阳镜
umbrella             雨伞
jacket               夹克衫
sweater              毛衣
pants                长裤
socks                袜子
stocking              长袜
shoes                 鞋
sneakers              运动鞋
running shoes          运动鞋
jumper                套头衫
hoody                 帽衫
slippers               拖鞋
sandals                凉鞋
pajamas               睡衣

family members:
 (家庭成员)
father                父亲
mother               母亲
brother               兄弟
sister                 姐妹
uncle                 叔叔
aunt                  姑姑
cousin                堂兄弟姐妹
grandmother           奶奶
grandfather            爷爷            
parents                父母
grandparents           祖父母

People: (人物)
boy                  男孩
girl                  女孩
child (children)         孩子（们）
classmate              同学
friend                 朋友
man (men)             男人（们）
woman (women)        女人（们）
Miss                  ……小姐     
Mr.                   ……先生
Mrs.                  ...... 夫人
Ms.                   ……女士
Santa Claus         圣诞老人
Christmas father     圣诞老人
twins              双胞胎
lady               女士
gentleman          绅士
Sir                先生
Madame            夫人

Jobs: (职业)         
teacher             教师
cook               厨师
doctor              医生
nurse               护士
dentist              牙医
driver              司机
manager            经理
singer              歌手
dancer             舞蹈演员
cleaner             清洁工
writer              作家
engineer            工程师
mailman            邮递员
policeman           警察
waiter              男服务员
waitress            女服务员
salesclerk           售货员
hairdresser          理发师
computer programmer
计算机程序编辑员
artist        艺术家；（尤指）画家 
painter              画家 
actor               男演员 
actress              女演员   
writer               作家  
poet                诗人
musician            音乐家 
scientist             科学家
inventor             发明家
astronaut             宇航员   
detective             侦探    
professor             教授    
president  （学院的）院长 、总统 
Chairman             主席，总统
principal           （中小学）校长
head teacher           班主任

personality: (性格)
shy                害羞的
friendly             友善的
hardworking         刻苦的
helpful             乐于助人的
honest              诚实的
quiet               安静的
popular             受欢迎的
talkative            健谈的
smart               聪明的
lazy                懒惰的
funny               有趣的
careless             粗心的
kind                善良的
strict               严格的
considerate          体贴的
amiable             亲切的

appearance （外貌类）
blond                金黄色的
curly                卷曲的
slim                 苗条的
straight              直的
tall                  高的
short                 矮的
old                  年长的
ugly                 丑陋的
big                  大的，胖的
young                年轻的
small                 小的
long                    长的
pretty                 漂亮的
strong                强壮的
heavy                  重的
thin                    瘦的

body：(身体部位)
body                  身体
head                    头
face                    脸
nose                  鼻子
eye                   眼睛
ear                   耳朵
mouth                   嘴
tooth（teeth复数）     牙齿
arm                   手臂                     
leg                      腿
hand                     手
finger                  手指
foot  （feet复数）        脚         
hair                     头发
